vSafe denied.,vSafe denied.
Authorization communication error.,Authorization communication error.
Business rules denied.,Business rules denied.
Payment is already confirmed.,Payment is already confirmed.
"Vesta Payment, Bank Denied.","Vesta Payment, Bank Denied."
vSafe Pended.,vSafe Pended.
vSafe Denied.,vSafe Denied.
Authorization Communication Error.,Authorization Communication Error.
Vesta Payment method Login Failed.,Vesta Payment method Login Failed.
Authorization Communication Error.,Authorization Communication Error.
Are you sure to delete selected logs?,Are you sure to delete selected logs?
Delete items,Delete items
Delete,Delete
Response Code,Response Code
Quote Id,Quote Id
Log Content,Log Content
Created,Created
Modified,Modified
This payment is not available,This payment is not available
Credit Card Type,Credit Card Type
Place Order,Place Order
Payment Information,Payment Information
Payment_AUTH_Call_Successful,Vesta Payment authorize call successful
Payment_Capture_Call_Successful,Vesta Payment capture call successful
Payment_Refund_Call_Successful,Vesta Payment refund call successful
Payment_Void_Call_Successful,Vesta Payment void call successful
Payment_Auth_Capture_Call_Successful,Vesta Payment authorize & capture call successful
AcquirerAVSResponseCode,Acquirer address verification code
AcquirerCVVResponseCode,Acquirer CVV verification code
AcquirerApprovalCode,Acquirer approval code
AcquirerResponseCode,Acquirer response code
AcquirerResponseCodeText,Acquirer approval message
AE,American Express
VI,Visa
MC,MasterCard
DI,Discover
JCB,JCB
SM,Switch/Maestro
DN,Diners
SO,Solo
MI,Maestro International
MD,Maestro Domestic
Card decline by bank,Your transaction has been declined by the card issuer. You will not be charged. Please contact the card issuer with additional questions or use another credit card or debit card.
Card decline by acquirer,Your transaction has been declined and your card will not be charged. Please verify that the information you entered matches what your bank has on file or use a different credit or debit card. Please note that your bank may place an "authorization hold" on your account for the full attempted transaction amount until they process this decline. It takes most banks 1-2 business days to remove the pending amount, please contact your bank if you have questions about their authorization hold reversal procedure.
